Video Title,Channel Name,Video URL,Date Published,Views,Subs Gained,Revenue,Avg View %,Avg View Min,Format,Thumbnail,Video ID
Florida Needs To Do Right By Vernon Maxwell 💯,All The Smoke,https://www.youtube.com/watch?v=gR2mcmxgL_A,"Mar 2, 2025",1115171,1289.0,19.57,73.54,2.03,Long,https://img.youtube.com/vi/gR2mcmxgL_A/hqdefault.jpg,gR2mcmxgL_A
Chris Mullin was a KILLER 🎯,All The Smoke,https://www.youtube.com/watch?v=tCh8a5vnr30,"Mar 28, 2025",1111503,222.0,173.351,116.27,0.78,Long,https://img.youtube.com/vi/tCh8a5vnr30/hqdefault.jpg,tCh8a5vnr30
This Big Perk - Paul Pierce Story Is Incredible 😂 #nba #shorts | @betmgm,All The Smoke,https://www.youtube.com/watch?v=xwLBc-7k06g,"Jan 24, 2023",1106412,1219.0,3.963,106.82,1.05,Short,https://img.youtube.com/vi/xwLBc-7k06g/hqdefault.jpg,xwLBc-7k06g
Jamal Murray Missed His First 17 Shots In The NBA 🤯 | #nba #shorts,All The Smoke,https://www.youtube.com/watch?v=SxrIUDegD-g,"May 16, 2023",1092987,740.0,1.221,88.78,0.88,Short,https://img.youtube.com/vi/SxrIUDegD-g/hqdefault.jpg,SxrIUDegD-g
Kobe REALLY Wanted To Be Like Mike,All The Smoke,https://www.youtube.com/watch?v=GB-qVv68Agc,"Apr 26, 2025",1073461,333.0,162.258,96.99,1.57,Short,https://img.youtube.com/vi/GB-qVv68Agc/hqdefault.jpg,GB-qVv68Agc
What’s the best version of Lebron?  🗣 #nba,All The Smoke,https://www.youtube.com/watch?v=UTEVtA_08gg,"Aug 4, 2023",1034324,688.0,0.768,89.32,0.82,Short,https://img.youtube.com/vi/UTEVtA_08gg/hqdefault.jpg,UTEVtA_08gg
Denzel Washington Really Is The 🐐#allthesmoke #denzelwashington,All The Smoke,https://www.youtube.com/watch?v=PyhwJL4a3R4,"Jul 10, 2022",1007703,2693.0,1.655,91.64,0.92,Short,https://img.youtube.com/vi/PyhwJL4a3R4/hqdefault.jpg,PyhwJL4a3R4
Paul Pierce Put Kevin Garnett On To Cinnabon 🤣🤣,All The Smoke,https://www.youtube.com/watch?v=jwVF8SG90LY,"Nov 29, 2023",1006509,829.0,39.697,95.26,0.95,Short,https://img.youtube.com/vi/jwVF8SG90LY/hqdefault.jpg,jwVF8SG90LY
This Would Have Been The Greatest Shoe Ad of All-Time 😂,All The Smoke,https://www.youtube.com/watch?v=wIOU0sYZP6w,"Oct 17, 2024",1006109,1165.0,281.171,77.5,1.83,Long,https://img.youtube.com/vi/wIOU0sYZP6w/hqdefault.jpg,wIOU0sYZP6w
The Block That CHANGED NBA History,All The Smoke,https://www.youtube.com/watch?v=eWoUAl8R5rI,"Apr 29, 2025",1005951,162.0,156.497,89.92,1.03,Short,https://img.youtube.com/vi/eWoUAl8R5rI/hqdefault.jpg,eWoUAl8R5rI
J.R. Smith on His Infamous Mistake in 2018 NBA Finals | ALL THE SMOKE,All The Smoke,https://www.youtube.com/watch?v=WV0nYCrdKVY,"Oct 25, 2019",997568,4463.0,9.938,57.36,3.13,Long,https://img.youtube.com/vi/WV0nYCrdKVY/hqdefault.jpg,WV0nYCrdKVY
The Night Steph Curry Turned Into A Monster: 'We Birthed An Animal' | ALL THE SMOKE,All The Smoke,https://www.youtube.com/watch?v=RneLKq136aY,"Aug 7, 2023",997051,1914.0,900.428,52.68,2.63,Long,https://img.youtube.com/vi/RneLKq136aY/hqdefault.jpg,RneLKq136aY
He Turned Down A Nike Deal Worth $5.2 BILLION Today 😳 #shorts,All The Smoke,https://www.youtube.com/watch?v=RjPVNx2fydA,"Aug 17, 2023",996359,904.0,1.484,99.91,0.85,Short,https://img.youtube.com/vi/RjPVNx2fydA/hqdefault.jpg,RjPVNx2fydA
